time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.41,1440629.933000,6143800.888000,939008.383700,276.824774,-70.477095,-33.913931,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.010605,0.000000,0.000000,10.028449,1,0,0,0,0,0,0,0,0,342,0,0,0
3.42,1440632.701000,6143800.183000,939008.044600,276.801760,-70.505259,-33.916974,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.976107,0.000000,0.000000,10.022959,1,0,0,0,0,0,0,0,0,343,0,0,0
3.43,1440635.469000,6143799.478000,939007.705400,276.778871,-70.533456,-33.920033,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.941523,0.000000,0.000000,10.017455,1,0,0,0,0,0,0,0,0,344,0,0,0
3.44,1440638.237000,6143798.772000,939007.366100,276.756108,-70.561684,-33.923107,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.906854,0.000000,0.000000,10.011937,1,0,0,0,0,0,0,0,0,345,0,0,0
3.45,1440641.004000,6143798.066000,939007.026900,276.733471,-70.589944,-33.926196,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.872101,0.000000,0.000000,10.006406,1,0,0,0,0,0,0,0,0,346,0,0,0
3.46,1440643.771000,6143797.360000,939006.687600,276.710960,-70.618236,-33.929301,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.837262,0.000000,0.000000,10.000861,1,0,0,0,0,0,0,0,0,347,0,0,0
3.47,1440646.538000,6143796.653000,939006.348200,276.688576,-70.646560,-33.932421,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.802338,0.000000,0.000000,9.995303,1,0,0,0,0,0,0,0,0,348,0,0,0
3.48,1440649.305000,6143795.947000,939006.008900,276.666317,-70.674914,-33.935556,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.767330,0.000000,0.000000,9.989731,1,0,0,0,0,0,0,0,0,349,0,0,0
3.49,1440652.071000,6143795.240000,939005.669500,276.644185,-70.703300,-33.938707,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.732237,0.000000,0.000000,9.984146,1,0,0,0,0,0,0,0,0,350,0,0,0
3.50,1440654.837000,6143794.532000,939005.330100,276.622180,-70.731717,-33.941873,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.697060,0.000000,0.000000,9.978547,1,0,0,0,0,0,0,0,0,351,0,0,0
3.51,1440657.603000,6143793.825000,939004.990600,276.600301,-70.760164,-33.945054,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.661799,0.000000,0.000000,9.972935,1,0,0,0,0,0,0,0,0,352,0,0,0
3.52,1440660.369000,6143793.117000,939004.651200,276.578548,-70.788641,-33.948250,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.626453,0.000000,0.000000,9.967310,1,0,0,0,0,0,0,0,0,353,0,0,0
3.53,1440663.135000,6143792.409000,939004.311600,276.556923,-70.817149,-33.951462,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.591024,0.000000,0.000000,9.961671,1,0,0,0,0,0,0,0,0,354,0,0,0
3.54,1440665.900000,6143791.700000,939003.972100,276.535424,-70.845687,-33.954688,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.555510,0.000000,0.000000,9.956019,1,0,0,0,0,0,0,0,0,355,0,0,0
3.55,1440668.665000,6143790.991000,939003.632500,276.514052,-70.874255,-33.957930,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.519913,0.000000,0.000000,9.950353,1,0,0,0,0,0,0,0,0,356,0,0,0
3.56,1440671.430000,6143790.282000,939003.292900,276.492808,-70.902852,-33.961187,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.484232,0.000000,0.000000,9.944674,1,0,0,0,0,0,0,0,0,357,0,0,0
3.57,1440674.195000,6143789.573000,939002.953300,276.471691,-70.931478,-33.964459,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,62.448468,0.000000,0.000000,9.938982,1,0,0,0,0,0,0,0,0,358,0,0,0
