time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.87,1440757.044000,6143768.159000,938992.748000,275.897743,-71.802899,-34.069476,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937542,134.203340,-58.701248,61.337439,0.000000,0.000000,9.762157,0,0,1,0,0,0,0,0,0,0,0,388,0,0,0
3.88,1440759.803000,6143767.441000,938992.407200,275.880611,-71.832333,-34.073201,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937401,143.528630,29.250627,61.299158,0.000000,0.000000,9.756064,0,0,1,0,0,0,0,0,0,0,0,389,0,0,0
3.89,1440762.562000,6143766.722000,938992.066500,275.863609,-71.861789,-34.076939,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937260,100.567371,106.498660,61.260798,0.000000,0.000000,9.749959,0,0,1,0,0,0,0,0,0,0,0,390,0,0,0
3.90,1440765.320000,6143766.003000,938991.725700,275.846737,-71.891267,-34.080692,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937119,21.042123,144.957524,61.222360,0.000000,0.000000,9.743841,0,0,1,0,0,0,0,0,0,0,0,391,0,0,0
3.91,1440768.079000,6143765.284000,938991.384800,275.829995,-71.920768,-34.084458,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936978,-66.084662,130.720949,61.183843,0.000000,0.000000,9.737711,0,0,1,0,0,0,0,0,0,0,0,392,0,0,0
3.92,1440770.837000,6143764.565000,938991.043900,275.813380,-71.950290,-34.088239,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936838,-129.178173,69.049572,61.145247,0.000000,0.000000,9.731568,0,0,1,0,0,0,0,0,0,0,0,393,0,0,0
3.93,1440773.595000,6143763.845000,938990.703000,275.796894,-71.979833,-34.092033,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936698,-145.410419,-17.616706,61.106573,0.000000,0.000000,9.725413,0,0,1,0,0,0,0,0,0,0,0,394,0,0,0
3.94,1440776.353000,6143763.125000,938990.362100,275.780536,-72.009398,-34.095841,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936558,-108.988335,-97.855893,61.067822,0.000000,0.000000,9.719246,0,0,1,0,0,0,0,0,0,0,0,395,0,0,0
3.95,1440779.110000,6143762.404000,938990.021100,275.764306,-72.038983,-34.099662,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936418,-33.176650,-142.664775,61.028992,0.000000,0.000000,9.713066,0,0,1,0,0,0,0,0,0,0,0,396,0,0,0
3.96,1440781.868000,6143761.684000,938989.680000,275.748205,-72.068589,-34.103497,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936279,54.573834,-135.923949,60.990084,0.000000,0.000000,9.706873,0,0,1,0,0,0,0,0,0,0,0,397,0,0,0
3.97,1440784.625000,6143760.963000,938989.339000,275.732232,-72.098216,-34.107346,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936140,122.588913,-80.157826,60.951099,0.000000,0.000000,9.700669,0,0,1,0,0,0,0,0,0,0,0,398,0,0,0
3.98,1440787.382000,6143760.241000,938988.997800,275.716387,-72.127862,-34.111208,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.936001,146.400727,4.454352,60.912036,0.000000,0.000000,9.694452,0,0,1,0,0,0,0,0,0,0,0,399,0,0,0
