time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
35.16,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3517,747,1604,1707
35.17,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3518,747,1604,1707
35.18,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3519,747,1604,1707
35.19,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3520,747,1604,1707
35.2,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3521,747,1604,1707
35.21,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3522,747,1604,1707
35.22,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3523,747,1604,1707
35.23,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3524,747,1604,1707
35.24,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3525,747,1604,1707
35.25,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3526,747,1604,1707
35.26,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3527,747,1604,1707
35.27,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3528,747,1604,1707
35.28,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3529,747,1604,1707
